Sample	per_base_sequence_content	overrepresented_sequences	sequence_duplication_levels	total_deduplicated_percentage	File type	%GC	per_sequence_quality_scores	avg_sequence_length	Encoding	Total Bases	Filename	per_base_n_content	Sequences flagged as poor quality	Total Sequences	per_sequence_gc_content	median_sequence_length	sequence_length_distribution	adapter_content	Sequence length	per_base_sequence_quality	basic_statistics
MI_24Hr_SRR12108291_1	fail	warn	fail	29.701599770639348	Conventional base calls	44.0	pass	75.48279843069017	Sanger / Illumina 1.9	682.2 Mbp	MI_24Hr_SRR12108291_1.fastq.gz	pass	0.0	9038623.0	fail	76	warn	pass	35-76	pass	pass
MI_24Hr_SRR12108291_2	fail	warn	fail	36.02317654371837	Conventional base calls	46.0	pass	75.4645479737345	Sanger / Illumina 1.9	682 Mbp	MI_24Hr_SRR12108291_2.fastq.gz	pass	0.0	9038623.0	fail	76	warn	pass	35-76	pass	pass
MI_24Hr_SRR12108294_1	fail	warn	fail	32.34500570307803	Conventional base calls	45.0	pass	75.45676309636555	Sanger / Illumina 1.9	899.9 Mbp	MI_24Hr_SRR12108294_1.fastq.gz	pass	0.0	11926305.0	fail	76	warn	pass	35-76	pass	pass
MI_24Hr_SRR12108294_2	fail	warn	fail	36.0371468975427	Conventional base calls	46.0	pass	75.48119581043751	Sanger / Illumina 1.9	900.2 Mbp	MI_24Hr_SRR12108294_2.fastq.gz	pass	0.0	11926305.0	fail	76	warn	pass	35-76	pass	pass
MI_24Hr_SRR12108297_1	fail	warn	fail	31.695848846098123	Conventional base calls	45.0	pass	75.44922255151303	Sanger / Illumina 1.9	835.7 Mbp	MI_24Hr_SRR12108297_1.fastq.gz	pass	0.0	11077004.0	fail	76	warn	pass	35-76	pass	pass
MI_24Hr_SRR12108297_2	fail	warn	fail	38.102990642600275	Conventional base calls	47.0	pass	75.43721109065231	Sanger / Illumina 1.9	835.6 Mbp	MI_24Hr_SRR12108297_2.fastq.gz	pass	0.0	11077004.0	fail	76	warn	pass	35-76	pass	pass
MI_24Hr_SRR12108298_1	fail	warn	fail	30.012847918647896	Conventional base calls	45.0	pass	75.35558449123191	Sanger / Illumina 1.9	958.8 Mbp	MI_24Hr_SRR12108298_1.fastq.gz	pass	0.0	12724776.0	fail	76	warn	pass	35-76	pass	pass
MI_24Hr_SRR12108298_2	fail	warn	fail	36.39295333056662	Conventional base calls	46.0	pass	75.35733053375556	Sanger / Illumina 1.9	958.9 Mbp	MI_24Hr_SRR12108298_2.fastq.gz	pass	0.0	12724776.0	fail	76	warn	pass	35-76	pass	pass
MI_24Hr_SRR12108299_1	fail	warn	fail	29.495665316036618	Conventional base calls	45.0	pass	75.33210829468858	Sanger / Illumina 1.9	1.2 Gbp	MI_24Hr_SRR12108299_1.fastq.gz	pass	0.0	16451998.0	fail	76	warn	pass	35-76	pass	pass
MI_24Hr_SRR12108299_2	fail	warn	fail	33.87460027438495	Conventional base calls	46.0	pass	75.32031896672976	Sanger / Illumina 1.9	1.2 Gbp	MI_24Hr_SRR12108299_2.fastq.gz	pass	0.0	16451998.0	fail	76	warn	pass	35-76	pass	pass
MI_6Hr_SRR12108289_1	fail	warn	fail	29.45739459607489	Conventional base calls	44.0	pass	75.48568018221674	Sanger / Illumina 1.9	837.3 Mbp	MI_6Hr_SRR12108289_1.fastq.gz	pass	0.0	11092285.0	fail	76	warn	pass	35-76	pass	pass
MI_6Hr_SRR12108289_2	fail	warn	fail	34.759213938296575	Conventional base calls	46.0	pass	75.47336757034282	Sanger / Illumina 1.9	837.1 Mbp	MI_6Hr_SRR12108289_2.fastq.gz	pass	0.0	11092285.0	fail	76	warn	pass	35-76	pass	pass
MI_6Hr_SRR12108302_1	fail	warn	fail	27.339145570607	Conventional base calls	45.0	pass	75.47345576610421	Sanger / Illumina 1.9	798 Mbp	MI_6Hr_SRR12108302_1.fastq.gz	pass	0.0	10573803.0	fail	76	warn	pass	35-76	pass	pass
MI_6Hr_SRR12108302_2	fail	warn	fail	33.336863447626115	Conventional base calls	46.0	pass	75.46392627137085	Sanger / Illumina 1.9	797.9 Mbp	MI_6Hr_SRR12108302_2.fastq.gz	pass	0.0	10573803.0	fail	76	warn	pass	35-76	pass	pass
MI_6Hr_SRR12108303_1	fail	warn	fail	26.91793339747556	Conventional base calls	44.0	pass	75.4865731900337	Sanger / Illumina 1.9	1.1 Gbp	MI_6Hr_SRR12108303_1.fastq.gz	pass	0.0	15668800.0	fail	76	warn	pass	35-76	pass	pass
MI_6Hr_SRR12108303_2	fail	warn	fail	32.313805008452825	Conventional base calls	45.0	pass	75.46960245838865	Sanger / Illumina 1.9	1.1 Gbp	MI_6Hr_SRR12108303_2.fastq.gz	pass	0.0	15668800.0	fail	76	warn	pass	35-76	pass	pass
