Sample	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Secondary	Unassigned_MappingQuality	percent_assigned	Assigned	Unassigned_Singleton	Unassigned_FragmentLength	Unassigned_Ambiguity	Unassigned_NonSplit	Unassigned_Chimera	Unassigned_Read_Type	Unassigned_Unmapped	Unassigned_Duplicate	Unassigned_MultiMapping	Total
MI_24Hr_SRR12108291.gencode	331393	0	0	0	56.96401344422048	6030358	0	0	68209	0	0	0	0	0	4156299	10586259
MI_24Hr_SRR12108294.gencode	501522	0	0	0	59.32430541748588	8459115	0	0	97594	0	0	0	0	0	5200874	14259105
MI_24Hr_SRR12108297.gencode	390787	0	0	0	59.505916512806266	7616771	0	0	89659	0	0	0	0	0	4702806	12800023
MI_24Hr_SRR12108298.gencode	515538	0	0	0	58.20228703528848	8777594	0	0	101073	0	0	0	0	0	5686979	15081184
MI_24Hr_SRR12108299.gencode	761800	0	0	0	59.20232154497293	11760569	0	0	138232	0	0	0	0	0	7204446	19865047
MI_6Hr_SRR12108289.gencode	390110	0	0	0	58.38134223124558	7715144	0	0	82302	0	0	0	0	0	5027529	13215085
MI_6Hr_SRR12108302.gencode	538187	0	0	0	54.97589766531702	6799358	0	0	68526	0	0	0	0	0	4961818	12367889
MI_6Hr_SRR12108303.gencode	568759	0	0	0	57.58284232270824	10702730	0	0	112666	0	0	0	0	0	7202510	18586665
MI_6Hr_SRR12108305.gencode	594918	0	0	0	54.13075022040717	10256019	0	0	106530	0	0	0	0	0	7989285	18946752
MI_6Hr_SRR12108306.gencode	122933	0	0	0	59.92492741179707	2890857	0	0	31857	0	0	0	0	0	1778484	4824131
SHAM_24Hr_SRR12108290.gencode	407289	0	0	0	55.43335552514894	5605330	0	0	58323	0	0	0	0	0	4040894	10111836
SHAM_24Hr_SRR12108292.gencode	314749	0	0	0	55.907472918374545	5187130	0	0	51765	0	0	0	0	0	3724418	9278062
SHAM_24Hr_SRR12108293.gencode	199979	0	0	0	55.567189151371245	3552611	0	0	38085	0	0	0	0	0	2602686	6393361
SHAM_24Hr_SRR12108295.gencode	800174	0	0	0	53.031023463562846	4718841	0	0	43810	0	0	0	0	0	3335440	8898265
SHAM_24Hr_SRR12108296.gencode	345984	0	0	0	57.478506217296385	6369391	0	0	66770	0	0	0	0	0	4299199	11081344
SHAM_6Hr_SRR12108300.gencode	95895	0	0	0	59.81852595940175	2716644	0	0	29137	0	0	0	0	0	1699800	4541476
SHAM_6Hr_SRR12108301.gencode	274099	0	0	0	57.61681004637468	5233196	0	0	52876	0	0	0	0	0	3522588	9082759
SHAM_6Hr_SRR12108304.gencode	565716	0	0	0	58.14188587606487	10974142	0	0	110242	0	0	0	0	0	7224661	18874761
SHAM_6Hr_SRR12108307.gencode	141564	0	0	0	60.25077067440833	3422298	0	0	38487	0	0	0	0	0	2077741	5680090
SHAM_6Hr_SRR12108308.gencode	237264	0	0	0	56.65901755298324	4610776	0	0	46840	0	0	0	0	0	3242882	8137762
