Sample	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_gc	featureCounts_mqc-generalstats-featurecounts-Assigned	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_duplicates	STAR_mqc-generalstats-star-uniquely_mapped_percent	featureCounts_mqc-generalstats-featurecounts-percent_assigned
MI_24Hr_SRR12108291.gencode				6030358	6429960.0				71.14	56.96401344422048
MI_24Hr_SRR12108291_1	30.0	75.48279843069017	44.0			76	9038623.0	70.29840022936065		
MI_24Hr_SRR12108291_2	30.0	75.4645479737345	46.0			76	9038623.0	63.97682345628163		
MI_24Hr_SRR12108294.gencode				8459115	9058231.0				75.95	59.32430541748588
MI_24Hr_SRR12108294_1	30.0	75.45676309636555	45.0			76	11926305.0	67.65499429692197		
MI_24Hr_SRR12108294_2	30.0	75.48119581043751	46.0			76	11926305.0	63.9628531024573		
MI_24Hr_SRR12108297.gencode				7616771	8097217.0				73.1	59.505916512806266
MI_24Hr_SRR12108297_1	30.0	75.44922255151303	45.0			76	11077004.0	68.30415115390187		
MI_24Hr_SRR12108297_2	30.0	75.43721109065231	47.0			76	11077004.0	61.897009357399725		
MI_24Hr_SRR12108298.gencode				8777594	9394205.0				73.83	58.20228703528848
MI_24Hr_SRR12108298_1	30.0	75.35558449123191	45.0			76	12724776.0	69.98715208135211		
MI_24Hr_SRR12108298_2	30.0	75.35733053375556	46.0			76	12724776.0	63.60704666943338		
MI_24Hr_SRR12108299.gencode				11760569	12660601.0				76.95	59.20232154497293
MI_24Hr_SRR12108299_1	30.0	75.33210829468858	45.0			76	16451998.0	70.50433468396338		
MI_24Hr_SRR12108299_2	30.0	75.32031896672976	46.0			76	16451998.0	66.12539972561504		
MI_6Hr_SRR12108289.gencode				7715144	8187556.0				73.81	58.38134223124558
MI_6Hr_SRR12108289_1	30.0	75.48568018221674	44.0			76	11092285.0	70.54260540392511		
MI_6Hr_SRR12108289_2	30.0	75.47336757034282	46.0			76	11092285.0	65.24078606170343		
MI_6Hr_SRR12108302.gencode				6799358	7406071.0				70.04	54.97589766531702
MI_6Hr_SRR12108302_1	30.0	75.47345576610421	45.0			76	10573803.0	72.660854429393		
MI_6Hr_SRR12108302_2	30.0	75.46392627137085	46.0			76	10573803.0	66.66313655237389		
MI_6Hr_SRR12108303.gencode				10702730	11384155.0				72.65	57.58284232270824
MI_6Hr_SRR12108303_1	30.0	75.4865731900337	44.0			76	15668800.0	73.08206660252443		
MI_6Hr_SRR12108303_2	30.0	75.46960245838865	45.0			76	15668800.0	67.68619499154718		
MI_6Hr_SRR12108305.gencode				10256019	10957467.0				70.77	54.13075022040717
MI_6Hr_SRR12108305_1	30.0	75.48339236354559	44.0			76	15482185.0	74.23153213528579		
MI_6Hr_SRR12108305_2	30.0	75.47303026026366	45.0			76	15482185.0	69.8402824372312		
MI_6Hr_SRR12108306.gencode				2890857	3045647.0				76.51	59.92492741179707
MI_6Hr_SRR12108306_1	30.0	75.42936606389655	46.0			76	3980622.0	66.59496504297745		
MI_6Hr_SRR12108306_2	30.0	75.39426049496787	46.0			76	3980622.0	61.850202298665785		
SHAM_24Hr_SRR12108290.gencode				5605330	6070942.0				71.06	55.43335552514894
SHAM_24Hr_SRR12108290_1	30.0	75.37398471045192	43.0			76	8543745.0	72.05252265806838		
SHAM_24Hr_SRR12108290_2	30.0	75.35803994618286	45.0			76	8543745.0	66.22087208434792		
SHAM_24Hr_SRR12108292.gencode				5187130	5553644.0				70.15	55.907472918374545
SHAM_24Hr_SRR12108292_1	30.0	75.43842891107172	43.0			76	7917133.0	71.23605677706685		
SHAM_24Hr_SRR12108292_2	40.0	75.43026509722648	46.0			76	7917133.0	64.34540960095187		
SHAM_24Hr_SRR12108293.gencode				3552611	3790675.0				70.62	55.567189151371245
SHAM_24Hr_SRR12108293_1	30.0	75.4566420413284	43.0			76	5367642.0	70.50193040655836		
SHAM_24Hr_SRR12108293_2	30.0	75.44711308988192	45.0			76	5367642.0	64.55573436901855		
SHAM_24Hr_SRR12108295.gencode				4718841	5562825.0				69.67	53.031023463562846
SHAM_24Hr_SRR12108295_1	30.0	75.50579869583198	46.0			76	7984554.0	77.10928189326593		
SHAM_24Hr_SRR12108295_2	40.0	75.49551120826536	49.0			76	7984554.0	69.70882792575475		
SHAM_24Hr_SRR12108296.gencode				6369391	6782145.0				71.14	57.478506217296385
SHAM_24Hr_SRR12108296_1	30.0	75.48856259765354	44.0			76	9533065.0	71.56024077326802		
SHAM_24Hr_SRR12108296_2	30.0	75.46613035786497	45.0			76	9533065.0	65.00525105723342		
SHAM_6Hr_SRR12108300.gencode				2716644	2841676.0				75.88	59.81852595940175
SHAM_6Hr_SRR12108300_1	30.0	75.47787066390946	45.0			76	3744848.0	68.77845686233402		
SHAM_6Hr_SRR12108300_2	30.0	75.4395844637753	46.0			76	3744848.0	63.9402375143557		
SHAM_6Hr_SRR12108301.gencode				5233196	5560171.0				70.69	57.61681004637468
SHAM_6Hr_SRR12108301_1	30.0	75.49114158950337	44.0			76	7865463.0	72.34294840852263		
SHAM_6Hr_SRR12108301_2	30.0	75.47220627698586	45.0			76	7865463.0	65.30512049232942		
SHAM_6Hr_SRR12108304.gencode				10974142	11650100.0				74.9	58.14188587606487
SHAM_6Hr_SRR12108304_1	20.0	75.49844769644504	44.0			76	15553981.0	75.30019920336592		
SHAM_6Hr_SRR12108304_2	30.0	75.47950605057316	45.0			76	15553981.0	70.73763775517048		
SHAM_6Hr_SRR12108307.gencode				3422298	3602349.0				75.46	60.25077067440833
SHAM_6Hr_SRR12108307_1	30.0	75.45158931401167	46.0			76	4773915.0	68.90281779850594		
SHAM_6Hr_SRR12108307_2	30.0	75.41538695179952	47.0			76	4773915.0	63.678169303827495		
SHAM_6Hr_SRR12108308.gencode				4610776	4894880.0				65.86	56.65901755298324
SHAM_6Hr_SRR12108308_1	30.0	75.48810253461042	43.0			76	7431793.0	74.07459791943853		
SHAM_6Hr_SRR12108308_2	40.0	75.46636538450412	46.0			76	7431793.0	64.51605322517692		
