Sample	multimapped	num_annotated_splices	unmapped_mismatches_percent	mismatch_rate	unmapped_other	multimapped_percent	multimapped_toomany	num_ATAC_splices	num_noncanonical_splices	num_GTAG_splices	deletion_length	uniquely_mapped	unmapped_tooshort	unmapped_tooshort_percent	avg_mapped_read_length	total_reads	uniquely_mapped_percent	multimapped_toomany_percent	avg_input_read_length	num_splices	num_GCAG_splices	unmapped_mismatches	insertion_length	unmapped_other_percent	deletion_rate	insertion_rate
MI_24Hr_SRR12108291.gencode	1984255.0	2834291.0	0.0	0.21	4519	21.95	15244.0	1961.0	1618.0	2826645.0	1.41	6429960.0	604645	6.69	150.65	9038623.0	71.14	0.17	150.0	2849942.0	19718.0	0	1.15	0.05	0.0	0.0
MI_24Hr_SRR12108294.gencode	2465569.0	3978033.0	0.0	0.21	5971	20.67	21573.0	2787.0	2524.0	3967621.0	1.54	9058231.0	374961	3.14	150.65	11926305.0	75.95	0.18	150.0	4002537.0	29605.0	0	1.2	0.05	0.0	0.01
MI_24Hr_SRR12108297.gencode	2226037.0	3690459.0	0.0	0.21	5540	20.1	21415.0	2665.0	2636.0	3679899.0	1.53	8097217.0	726795	6.56	150.57	11077004.0	73.1	0.19	150.0	3712853.0	27653.0	0	1.18	0.05	0.0	0.0
MI_24Hr_SRR12108298.gencode	2692455.0	4181120.0	0.0	0.25	6360	21.16	27596.0	2922.0	2995.0	4170958.0	1.46	9394205.0	604160	4.75	150.39	12724776.0	73.83	0.22	150.0	4208084.0	31209.0	0	1.16	0.05	0.0	0.0
MI_24Hr_SRR12108299.gencode	3400260.0	5727068.0	0.0	0.22	8219	20.67	34436.0	4333.0	4103.0	5711123.0	1.48	12660601.0	348482	2.12	150.35	16451998.0	76.95	0.21	150.0	5762459.0	42900.0	0	1.19	0.05	0.0	0.0
MI_6Hr_SRR12108289.gencode	2386193.0	3538923.0	0.0	0.21	7771	21.51	25618.0	2427.0	2389.0	3527314.0	1.46	8187556.0	485147	4.37	150.65	11092285.0	73.81	0.23	150.0	3560118.0	27988.0	0	1.2	0.07	0.0	0.01
MI_6Hr_SRR12108302.gencode	2352779.0	2834725.0	0.0	0.25	5285	22.25	18991.0	1873.0	2200.0	2827438.0	2.82	7406071.0	790677	7.48	150.47	10573803.0	70.04	0.18	150.0	2852918.0	21407.0	0	1.53	0.05	0.01	0.01
MI_6Hr_SRR12108303.gencode	3430857.0	4837504.0	0.0	0.2	7838	21.9	30774.0	3277.0	3542.0	4822922.0	1.55	11384155.0	815176	5.2	150.64	15668800.0	72.65	0.2	150.0	4867339.0	37598.0	0	1.19	0.05	0.0	0.01
MI_6Hr_SRR12108305.gencode	3821745.0	4432155.0	0.0	0.2	7727	24.68	32266.0	2919.0	3130.0	4420402.0	1.55	10957467.0	662980	4.29	150.64	15482185.0	70.77	0.21	150.0	4460155.0	33704.0	0	1.22	0.05	0.0	0.01
MI_6Hr_SRR12108306.gencode	844424.0	1474455.0	0.0	0.18	2378	21.21	10088.0	970.0	1139.0	1469957.0	1.6	3045647.0	78085	1.97	150.56	3980622.0	76.51	0.25	150.0	1482776.0	10710.0	0	1.32	0.06	0.0	0.0
SHAM_24Hr_SRR12108290.gencode	1935343.0	2468463.0	0.0	0.2	4271	22.65	13032.0	1596.0	1701.0	2461404.0	1.62	6070942.0	520157	6.09	150.41	8543745.0	71.06	0.15	150.0	2482461.0	17760.0	0	1.21	0.05	0.0	0.01
SHAM_24Hr_SRR12108292.gencode	1786992.0	2273903.0	0.0	0.22	3961	22.57	12435.0	1432.0	1766.0	2267348.0	1.56	5553644.0	560101	7.07	150.54	7917133.0	70.15	0.16	150.0	2287566.0	17020.0	0	1.18	0.05	0.0	0.0
SHAM_24Hr_SRR12108293.gencode	1252604.0	1531210.0	0.0	0.21	2146	23.34	6729.0	968.0	949.0	1526917.0	1.47	3790675.0	315488	5.88	150.58	5367642.0	70.62	0.13	150.0	1539046.0	10212.0	0	1.18	0.04	0.0	0.01
SHAM_24Hr_SRR12108295.gencode	1528082.0	1713308.0	0.0	0.41	2395	19.14	7371.0	1118.0	1916.0	1708272.0	4.21	5562825.0	883881	11.07	149.99	7984554.0	69.67	0.09	151.0	1722881.0	11575.0	0	1.99	0.03	0.04	0.02
SHAM_24Hr_SRR12108296.gencode	2066506.0	2929999.0	0.0	0.2	4763	21.68	14735.0	2023.0	1985.0	2920591.0	1.44	6782145.0	664916	6.98	150.65	9533065.0	71.14	0.15	150.0	2946935.0	22336.0	0	1.16	0.05	0.0	0.0
SHAM_6Hr_SRR12108300.gencode	811152.0	1364693.0	0.0	0.18	1877	21.66	8669.0	809.0	1004.0	1360521.0	1.47	2841676.0	81474	2.17	150.66	3744848.0	75.88	0.23	150.0	1372124.0	9790.0	0	1.25	0.05	0.0	0.0
SHAM_6Hr_SRR12108301.gencode	1692845.0	2349787.0	0.0	0.21	3933	21.52	11457.0	1499.0	1650.0	2342538.0	1.37	5560171.0	597057	7.59	150.66	7865463.0	70.69	0.15	150.0	2363628.0	17941.0	0	1.13	0.05	0.0	0.0
SHAM_6Hr_SRR12108304.gencode	3460802.0	5031190.0	0.0	0.21	9315	22.25	25449.0	3227.0	3189.0	5015695.0	1.46	11650100.0	408315	2.63	150.68	15553981.0	74.9	0.16	150.0	5060198.0	38087.0	0	1.17	0.06	0.0	0.0
SHAM_6Hr_SRR12108307.gencode	990345.0	1793830.0	0.0	0.18	2388	20.74	11697.0	1169.0	1312.0	1788808.0	1.63	3602349.0	167136	3.5	150.59	4773915.0	75.46	0.25	150.0	1804097.0	12808.0	0	1.34	0.05	0.0	0.0
SHAM_6Hr_SRR12108308.gencode	1555987.0	1986030.0	0.0	0.21	3715	20.94	11187.0	1253.0	1463.0	1980445.0	1.39	4894880.0	966024	13.0	150.62	7431793.0	65.86	0.15	150.0	1998173.0	15012.0	0	1.16	0.05	0.0	0.01
