Sample	Unassigned_MultiMapping	Unassigned_Chimera	Unassigned_Ambiguity	Unassigned_Secondary	Unassigned_Read_Type	Unassigned_NonSplit	percent_assigned	Unassigned_Duplicate	Unassigned_Unmapped	Unassigned_FragmentLength	Unassigned_MappingQuality	Assigned	Unassigned_Overlapping_Length	Unassigned_Singleton	Total	Unassigned_NoFeatures
MI_24Hr_SRR12108291.gencode	4156299	0	68209	0	0	0	56.96401344422048	0	0	0	0	6030358	0	0	10586259	331393
MI_24Hr_SRR12108294.gencode	5200874	0	97594	0	0	0	59.32430541748588	0	0	0	0	8459115	0	0	14259105	501522
MI_24Hr_SRR12108297.gencode	4702806	0	89659	0	0	0	59.505916512806266	0	0	0	0	7616771	0	0	12800023	390787
MI_24Hr_SRR12108298.gencode	5686979	0	101073	0	0	0	58.20228703528848	0	0	0	0	8777594	0	0	15081184	515538
MI_24Hr_SRR12108299.gencode	7204446	0	138232	0	0	0	59.20232154497293	0	0	0	0	11760569	0	0	19865047	761800
MI_6Hr_SRR12108289.gencode	5027529	0	82302	0	0	0	58.38134223124558	0	0	0	0	7715144	0	0	13215085	390110
MI_6Hr_SRR12108302.gencode	4961818	0	68526	0	0	0	54.97589766531702	0	0	0	0	6799358	0	0	12367889	538187
MI_6Hr_SRR12108303.gencode	7202510	0	112666	0	0	0	57.58284232270824	0	0	0	0	10702730	0	0	18586665	568759
MI_6Hr_SRR12108305.gencode	7989285	0	106530	0	0	0	54.13075022040717	0	0	0	0	10256019	0	0	18946752	594918
MI_6Hr_SRR12108306.gencode	1778484	0	31857	0	0	0	59.92492741179707	0	0	0	0	2890857	0	0	4824131	122933
SHAM_24Hr_SRR12108290.gencode	4040894	0	58323	0	0	0	55.43335552514894	0	0	0	0	5605330	0	0	10111836	407289
SHAM_24Hr_SRR12108292.gencode	3724418	0	51765	0	0	0	55.907472918374545	0	0	0	0	5187130	0	0	9278062	314749
SHAM_24Hr_SRR12108293.gencode	2602686	0	38085	0	0	0	55.567189151371245	0	0	0	0	3552611	0	0	6393361	199979
SHAM_24Hr_SRR12108295.gencode	3335440	0	43810	0	0	0	53.031023463562846	0	0	0	0	4718841	0	0	8898265	800174
SHAM_24Hr_SRR12108296.gencode	4299199	0	66770	0	0	0	57.478506217296385	0	0	0	0	6369391	0	0	11081344	345984
SHAM_6Hr_SRR12108300.gencode	1699800	0	29137	0	0	0	59.81852595940175	0	0	0	0	2716644	0	0	4541476	95895
SHAM_6Hr_SRR12108301.gencode	3522588	0	52876	0	0	0	57.61681004637468	0	0	0	0	5233196	0	0	9082759	274099
SHAM_6Hr_SRR12108304.gencode	7224661	0	110242	0	0	0	58.14188587606487	0	0	0	0	10974142	0	0	18874761	565716
SHAM_6Hr_SRR12108307.gencode	2077741	0	38487	0	0	0	60.25077067440833	0	0	0	0	3422298	0	0	5680090	141564
SHAM_6Hr_SRR12108308.gencode	3242882	0	46840	0	0	0	56.65901755298324	0	0	0	0	4610776	0	0	8137762	237264
