Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-median_sequence_length	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-avg_sequence_length	featureCounts_mqc-generalstats-featurecounts-Assigned	FastQC_mqc-generalstats-fastqc-percent_fails	STAR_mqc-generalstats-star-uniquely_mapped_percent	FastQC_mqc-generalstats-fastqc-percent_gc
MI_24Hr_SRR12108291.gencode	56.96401344422048			6429960.0			6030358		71.14	
MI_24Hr_SRR12108291_1		70.29840022936065	76		9038623.0	75.48279843069017		30.0		44.0
MI_24Hr_SRR12108291_2		63.97682345628163	76		9038623.0	75.4645479737345		30.0		46.0
MI_24Hr_SRR12108294.gencode	59.32430541748588			9058231.0			8459115		75.95	
MI_24Hr_SRR12108294_1		67.65499429692197	76		11926305.0	75.45676309636555		30.0		45.0
MI_24Hr_SRR12108294_2		63.9628531024573	76		11926305.0	75.48119581043751		30.0		46.0
MI_24Hr_SRR12108297.gencode	59.505916512806266			8097217.0			7616771		73.1	
MI_24Hr_SRR12108297_1		68.30415115390187	76		11077004.0	75.44922255151303		30.0		45.0
MI_24Hr_SRR12108297_2		61.897009357399725	76		11077004.0	75.43721109065231		30.0		47.0
MI_24Hr_SRR12108298.gencode	58.20228703528848			9394205.0			8777594		73.83	
MI_24Hr_SRR12108298_1		69.98715208135211	76		12724776.0	75.35558449123191		30.0		45.0
MI_24Hr_SRR12108298_2		63.60704666943338	76		12724776.0	75.35733053375556		30.0		46.0
MI_24Hr_SRR12108299.gencode	59.20232154497293			12660601.0			11760569		76.95	
MI_24Hr_SRR12108299_1		70.50433468396338	76		16451998.0	75.33210829468858		30.0		45.0
MI_24Hr_SRR12108299_2		66.12539972561504	76		16451998.0	75.32031896672976		30.0		46.0
MI_6Hr_SRR12108289.gencode	58.38134223124558			8187556.0			7715144		73.81	
MI_6Hr_SRR12108289_1		70.54260540392511	76		11092285.0	75.48568018221674		30.0		44.0
MI_6Hr_SRR12108289_2		65.24078606170343	76		11092285.0	75.47336757034282		30.0		46.0
MI_6Hr_SRR12108302.gencode	54.97589766531702			7406071.0			6799358		70.04	
MI_6Hr_SRR12108302_1		72.660854429393	76		10573803.0	75.47345576610421		30.0		45.0
MI_6Hr_SRR12108302_2		66.66313655237389	76		10573803.0	75.46392627137085		30.0		46.0
MI_6Hr_SRR12108303.gencode	57.58284232270824			11384155.0			10702730		72.65	
MI_6Hr_SRR12108303_1		73.08206660252443	76		15668800.0	75.4865731900337		30.0		44.0
MI_6Hr_SRR12108303_2		67.68619499154718	76		15668800.0	75.46960245838865		30.0		45.0
MI_6Hr_SRR12108305.gencode	54.13075022040717			10957467.0			10256019		70.77	
MI_6Hr_SRR12108305_1		74.23153213528579	76		15482185.0	75.48339236354559		30.0		44.0
MI_6Hr_SRR12108305_2		69.8402824372312	76		15482185.0	75.47303026026366		30.0		45.0
MI_6Hr_SRR12108306.gencode	59.92492741179707			3045647.0			2890857		76.51	
MI_6Hr_SRR12108306_1		66.59496504297745	76		3980622.0	75.42936606389655		30.0		46.0
MI_6Hr_SRR12108306_2		61.850202298665785	76		3980622.0	75.39426049496787		30.0		46.0
SHAM_24Hr_SRR12108290.gencode	55.43335552514894			6070942.0			5605330		71.06	
SHAM_24Hr_SRR12108290_1		72.05252265806838	76		8543745.0	75.37398471045192		30.0		43.0
SHAM_24Hr_SRR12108290_2		66.22087208434792	76		8543745.0	75.35803994618286		30.0		45.0
SHAM_24Hr_SRR12108292.gencode	55.907472918374545			5553644.0			5187130		70.15	
SHAM_24Hr_SRR12108292_1		71.23605677706685	76		7917133.0	75.43842891107172		30.0		43.0
SHAM_24Hr_SRR12108292_2		64.34540960095187	76		7917133.0	75.43026509722648		40.0		46.0
SHAM_24Hr_SRR12108293.gencode	55.567189151371245			3790675.0			3552611		70.62	
SHAM_24Hr_SRR12108293_1		70.50193040655836	76		5367642.0	75.4566420413284		30.0		43.0
SHAM_24Hr_SRR12108293_2		64.55573436901855	76		5367642.0	75.44711308988192		30.0		45.0
SHAM_24Hr_SRR12108295.gencode	53.031023463562846			5562825.0			4718841		69.67	
SHAM_24Hr_SRR12108295_1		77.10928189326593	76		7984554.0	75.50579869583198		30.0		46.0
SHAM_24Hr_SRR12108295_2		69.70882792575475	76		7984554.0	75.49551120826536		40.0		49.0
SHAM_24Hr_SRR12108296.gencode	57.478506217296385			6782145.0			6369391		71.14	
SHAM_24Hr_SRR12108296_1		71.56024077326802	76		9533065.0	75.48856259765354		30.0		44.0
SHAM_24Hr_SRR12108296_2		65.00525105723342	76		9533065.0	75.46613035786497		30.0		45.0
SHAM_6Hr_SRR12108300.gencode	59.81852595940175			2841676.0			2716644		75.88	
SHAM_6Hr_SRR12108300_1		68.77845686233402	76		3744848.0	75.47787066390946		30.0		45.0
SHAM_6Hr_SRR12108300_2		63.9402375143557	76		3744848.0	75.4395844637753		30.0		46.0
SHAM_6Hr_SRR12108301.gencode	57.61681004637468			5560171.0			5233196		70.69	
SHAM_6Hr_SRR12108301_1		72.34294840852263	76		7865463.0	75.49114158950337		30.0		44.0
SHAM_6Hr_SRR12108301_2		65.30512049232942	76		7865463.0	75.47220627698586		30.0		45.0
SHAM_6Hr_SRR12108304.gencode	58.14188587606487			11650100.0			10974142		74.9	
SHAM_6Hr_SRR12108304_1		75.30019920336592	76		15553981.0	75.49844769644504		20.0		44.0
SHAM_6Hr_SRR12108304_2		70.73763775517048	76		15553981.0	75.47950605057316		30.0		45.0
SHAM_6Hr_SRR12108307.gencode	60.25077067440833			3602349.0			3422298		75.46	
SHAM_6Hr_SRR12108307_1		68.90281779850594	76		4773915.0	75.45158931401167		30.0		46.0
SHAM_6Hr_SRR12108307_2		63.678169303827495	76		4773915.0	75.41538695179952		30.0		47.0
SHAM_6Hr_SRR12108308.gencode	56.65901755298324			4894880.0			4610776		65.86	
SHAM_6Hr_SRR12108308_1		74.07459791943853	76		7431793.0	75.48810253461042		30.0		43.0
SHAM_6Hr_SRR12108308_2		64.51605322517692	76		7431793.0	75.46636538450412		40.0		46.0
