Sample	tss_up_1kb-5kb_total_bases	3_utr_exons_total_bases	total_tags	tes_down_10kb_tags_kb	tes_down_1kb-5kb_total_bases	cds_exons_tag_pct	introns_tag_pct	cds_exons_tags_kb	tss_up_1kb_tag_pct	cds_exons_tag_count	tes_down_1kb-5kb_tag_count	5_utr_exons_tags_kb	introns_tags_kb	tes_down_1kb_total_bases	tes_down_5kb-10kb_total_bases	total_reads	tss_up_1kb-5kb_tag_count	cds_exons_total_bases	tes_down_1kb_tags_kb	tss_up_1kb_tag_count	tss_up_5kb-10kb_tag_count	tes_down_1kb_tag_count	tes_down_10kb_tag_pct	tes_down_1kb_tag_pct	tss_up_10kb_tags_kb	3_utr_exons_tag_pct	tes_down_5kb_tag_pct	3_utr_exons_tags_kb	tes_down_5kb_tags_kb	5_utr_exons_total_bases	introns_tag_count	total_assigned_tags	5_utr_exons_tag_count	3_utr_exons_tag_count	tss_up_5kb_tag_pct	other_intergenic_tag_pct	tss_up_1kb_total_bases	tss_up_10kb_tag_pct	5_utr_exons_tag_pct	other_intergenic_tag_count	tss_up_5kb-10kb_total_bases	tes_down_5kb-10kb_tag_count	tss_up_5kb_tags_kb	introns_total_bases	tss_up_1kb_tags_kb
MI_24Hr_SRR12108291_read_distribution	123207134	61314908	19824368	0.25	124532769	62.03989958217079	1.313701400216138	333.28	0.020484890110998747	12299018	26988	13.4	0.24	37311462	123615777	16828430	8256	36902569	0.99	4061	9890	36808	0.35739348664229803	0.18567048392160598	0.08	30.0027219026604	0.32180597131772376	97.0	0.39	36900028	260433	19094988	494629	5947850	0.06213060613079822	3.679209344782139	34872227	0.112018703446183	2.4950555800820484	729380	125265442	7055	0.08	1097934901	0.12
MI_24Hr_SRR12108294_read_distribution	123207134	61314908	27256327	0.38	124532769	62.396374977450186	1.895046240089503	460.86	0.024541090954771715	17006960	46161	21.55	0.47	37311462	123615777	23047600	11725	36902569	1.34	6689	19035	50084	0.39555953375522684	0.18375183127205658	0.13	28.44935416279677	0.3531106740831221	126.47	0.59	36900028	516520	26218358	795365	7754249	0.06755862592931175	3.808176354796448	34872227	0.13739562194128357	2.918093109170579	1037969	125265442	11570	0.12	1097934901	0.19
MI_24Hr_SRR12108297_read_distribution	123207134	61314908	24537881	0.31	124532769	63.833001716814906	1.555301372600185	424.45	0.02364507350899615	15663266	35406	19.52	0.35	37311462	123615777	20646508	10618	36902569	1.18	5802	16849	43864	0.3645465555888872	0.17876034201975305	0.12	27.468622901871598	0.3230515299996768	109.93	0.49	36900028	381638	23627987	720144	6740218	0.06691694364317766	3.708119702756729	34872227	0.13558220451065028	2.934825545857036	909894	125265442	10182	0.1	1097934901	0.17
MI_24Hr_SRR12108298_read_distribution	123207134	61314908	28581353	0.36	124532769	63.63982488862581	1.7561659869635982	492.9	0.025852519997916122	18189123	39422	21.94	0.46	37311462	123615777	24173320	13651	36902569	1.34	7389	18883	49942	0.3545773357895268	0.1747363044709605	0.14	27.56261398821812	0.3126653941120282	128.48	0.55	36900028	501936	27519732	809639	7877768	0.07361442965978553	3.714383290392166	34872227	0.13968198076557117	2.8327525292452043	1061621	125265442	11979	0.13	1097934901	0.21
MI_24Hr_SRR12108299_read_distribution	123207134	61314908	38158048	0.52	124532769	63.66460097749235	1.7871878561502936	658.31	0.024681556037667335	24293169	61767	29.88	0.62	37311462	123615777	32121722	16964	36902569	1.89	9418	27127	70497	0.39142725539838935	0.1847500165626921	0.19	27.45654861590404	0.3466215043285233	170.87	0.82	36900028	681956	36757601	1102723	10476883	0.06913875678336585	3.6701222242814935	34872227	0.14022991951789568	2.889883151255536	1400447	125265442	17097	0.17	1097934901	0.27
MI_6Hr_SRR12108289_read_distribution	123207134	61314908	24885488	0.31	124532769	64.6675363569322	1.6346474700435851	436.09	0.02818911969899887	16092832	38785	18.65	0.37	37311462	123615777	21147498	14805	36902569	1.07	7015	16578	39931	0.35601069989063505	0.16045897914479315	0.14	26.678821809723	0.31631286475073345	108.28	0.49	36900028	406790	23953893	688123	6639155	0.08768162392475486	3.743527151245738	34872227	0.15429876239517584	2.765157749769665	931595	125265442	9879	0.14	1097934901	0.2
MI_6Hr_SRR12108302_read_distribution	123207134	61314908	22563538	0.53	124532769	60.311241969233734	2.491741321773208	368.76	0.022691476841973986	13608350	95745	29.17	0.51	37311462	123615777	19517700	9923	36902569	0.9	5120	56883	33634	0.6736709464623855	0.149063502363858	0.25	26.88996734466022	0.5733985512378422	98.95	0.8	36900028	562225	21538083	1076250	6067328	0.06666950901051068	4.544743825192662	34872227	0.3187709303390275	4.76986366233877	1025455	125265442	22625	0.1	1097934901	0.15
MI_6Hr_SRR12108303_read_distribution	123207134	61314908	34741530	0.43	124532769	63.61591731855217	1.6357742448303225	598.91	0.025980433216383967	22101143	53165	26.64	0.52	37311462	123615777	29630024	18467	36902569	1.52	9026	24562	56720	0.35455260605966404	0.16326281542580307	0.18	27.607929184465966	0.3162929208932364	156.43	0.68	36900028	568293	33418921	982836	9591417	0.07913583541081812	3.8069969860279613	34872227	0.14983508210490443	2.8289945779590018	1322609	125265442	13292	0.17	1097934901	0.26
MI_6Hr_SRR12108305_read_distribution	123207134	61314908	34262864	0.42	124532769	62.1768308685462	1.6836450099442943	577.29	0.023976396135477758	21303563	54806	25.8	0.53	37311462	123615777	29558424	18206	36902569	1.39	8215	24669	51936	0.34902511360404664	0.15158102369959497	0.18	29.107102663688593	0.31153846333453034	162.65	0.66	36900028	576865	32975941	951910	9972927	0.07711264300614216	3.7560286845839856	34872227	0.1491118780963553	2.7782557815365347	1286923	125265442	12844	0.17	1097934901	0.24
MI_6Hr_SRR12108306_read_distribution	123207134	61314908	9312811	0.13	124532769	65.25023432774488	1.6571580804120258	164.67	0.02393477114482405	6076631	17071	7.69	0.14	37311462	123615777	7780142	3721	36902569	0.4	2229	7629	15021	0.39168624811563335	0.1612939422908937	0.05	26.221857181467552	0.34460057226545243	39.83	0.2	36900028	154328	9006666	283659	2441992	0.0638904837647838	3.28735330288567	34872227	0.1458098956373108	3.0459009637369427	306145	125265442	4385	0.04	1097934901	0.06
