Sample	num_GCAG_splices	num_splices	multimapped	multimapped_toomany	deletion_length	num_GTAG_splices	uniquely_mapped	multimapped_percent	deletion_rate	num_annotated_splices	insertion_rate	num_ATAC_splices	uniquely_mapped_percent	total_reads	unmapped_tooshort	unmapped_mismatches	num_noncanonical_splices	unmapped_mismatches_percent	unmapped_other	avg_input_read_length	avg_mapped_read_length	mismatch_rate	unmapped_other_percent	multimapped_toomany_percent	unmapped_tooshort_percent	insertion_length
MI_24Hr_SRR12108291.gencode	19718.0	2849942.0	1984255.0	15244.0	1.41	2826645.0	6429960.0	21.95	0.0	2834291.0	0.0	1961.0	71.14	9038623.0	604645	0	1618.0	0.0	4519	150.0	150.65	0.21	0.05	0.17	6.69	1.15
MI_24Hr_SRR12108294.gencode	29605.0	4002537.0	2465569.0	21573.0	1.54	3967621.0	9058231.0	20.67	0.0	3978033.0	0.01	2787.0	75.95	11926305.0	374961	0	2524.0	0.0	5971	150.0	150.65	0.21	0.05	0.18	3.14	1.2
MI_24Hr_SRR12108297.gencode	27653.0	3712853.0	2226037.0	21415.0	1.53	3679899.0	8097217.0	20.1	0.0	3690459.0	0.0	2665.0	73.1	11077004.0	726795	0	2636.0	0.0	5540	150.0	150.57	0.21	0.05	0.19	6.56	1.18
MI_24Hr_SRR12108298.gencode	31209.0	4208084.0	2692455.0	27596.0	1.46	4170958.0	9394205.0	21.16	0.0	4181120.0	0.0	2922.0	73.83	12724776.0	604160	0	2995.0	0.0	6360	150.0	150.39	0.25	0.05	0.22	4.75	1.16
MI_24Hr_SRR12108299.gencode	42900.0	5762459.0	3400260.0	34436.0	1.48	5711123.0	12660601.0	20.67	0.0	5727068.0	0.0	4333.0	76.95	16451998.0	348482	0	4103.0	0.0	8219	150.0	150.35	0.22	0.05	0.21	2.12	1.19
MI_6Hr_SRR12108289.gencode	27988.0	3560118.0	2386193.0	25618.0	1.46	3527314.0	8187556.0	21.51	0.0	3538923.0	0.01	2427.0	73.81	11092285.0	485147	0	2389.0	0.0	7771	150.0	150.65	0.21	0.07	0.23	4.37	1.2
MI_6Hr_SRR12108302.gencode	21407.0	2852918.0	2352779.0	18991.0	2.82	2827438.0	7406071.0	22.25	0.01	2834725.0	0.01	1873.0	70.04	10573803.0	790677	0	2200.0	0.0	5285	150.0	150.47	0.25	0.05	0.18	7.48	1.53
MI_6Hr_SRR12108303.gencode	37598.0	4867339.0	3430857.0	30774.0	1.55	4822922.0	11384155.0	21.9	0.0	4837504.0	0.01	3277.0	72.65	15668800.0	815176	0	3542.0	0.0	7838	150.0	150.64	0.2	0.05	0.2	5.2	1.19
MI_6Hr_SRR12108305.gencode	33704.0	4460155.0	3821745.0	32266.0	1.55	4420402.0	10957467.0	24.68	0.0	4432155.0	0.01	2919.0	70.77	15482185.0	662980	0	3130.0	0.0	7727	150.0	150.64	0.2	0.05	0.21	4.29	1.22
MI_6Hr_SRR12108306.gencode	10710.0	1482776.0	844424.0	10088.0	1.6	1469957.0	3045647.0	21.21	0.0	1474455.0	0.0	970.0	76.51	3980622.0	78085	0	1139.0	0.0	2378	150.0	150.56	0.18	0.06	0.25	1.97	1.32
SHAM_24Hr_SRR12108290.gencode	17760.0	2482461.0	1935343.0	13032.0	1.62	2461404.0	6070942.0	22.65	0.0	2468463.0	0.01	1596.0	71.06	8543745.0	520157	0	1701.0	0.0	4271	150.0	150.41	0.2	0.05	0.15	6.09	1.21
SHAM_24Hr_SRR12108292.gencode	17020.0	2287566.0	1786992.0	12435.0	1.56	2267348.0	5553644.0	22.57	0.0	2273903.0	0.0	1432.0	70.15	7917133.0	560101	0	1766.0	0.0	3961	150.0	150.54	0.22	0.05	0.16	7.07	1.18
SHAM_24Hr_SRR12108293.gencode	10212.0	1539046.0	1252604.0	6729.0	1.47	1526917.0	3790675.0	23.34	0.0	1531210.0	0.01	968.0	70.62	5367642.0	315488	0	949.0	0.0	2146	150.0	150.58	0.21	0.04	0.13	5.88	1.18
SHAM_24Hr_SRR12108295.gencode	11575.0	1722881.0	1528082.0	7371.0	4.21	1708272.0	5562825.0	19.14	0.04	1713308.0	0.02	1118.0	69.67	7984554.0	883881	0	1916.0	0.0	2395	151.0	149.99	0.41	0.03	0.09	11.07	1.99
SHAM_24Hr_SRR12108296.gencode	22336.0	2946935.0	2066506.0	14735.0	1.44	2920591.0	6782145.0	21.68	0.0	2929999.0	0.0	2023.0	71.14	9533065.0	664916	0	1985.0	0.0	4763	150.0	150.65	0.2	0.05	0.15	6.98	1.16
SHAM_6Hr_SRR12108300.gencode	9790.0	1372124.0	811152.0	8669.0	1.47	1360521.0	2841676.0	21.66	0.0	1364693.0	0.0	809.0	75.88	3744848.0	81474	0	1004.0	0.0	1877	150.0	150.66	0.18	0.05	0.23	2.17	1.25
SHAM_6Hr_SRR12108301.gencode	17941.0	2363628.0	1692845.0	11457.0	1.37	2342538.0	5560171.0	21.52	0.0	2349787.0	0.0	1499.0	70.69	7865463.0	597057	0	1650.0	0.0	3933	150.0	150.66	0.21	0.05	0.15	7.59	1.13
SHAM_6Hr_SRR12108304.gencode	38087.0	5060198.0	3460802.0	25449.0	1.46	5015695.0	11650100.0	22.25	0.0	5031190.0	0.0	3227.0	74.9	15553981.0	408315	0	3189.0	0.0	9315	150.0	150.68	0.21	0.06	0.16	2.63	1.17
SHAM_6Hr_SRR12108307.gencode	12808.0	1804097.0	990345.0	11697.0	1.63	1788808.0	3602349.0	20.74	0.0	1793830.0	0.0	1169.0	75.46	4773915.0	167136	0	1312.0	0.0	2388	150.0	150.59	0.18	0.05	0.25	3.5	1.34
SHAM_6Hr_SRR12108308.gencode	15012.0	1998173.0	1555987.0	11187.0	1.39	1980445.0	4894880.0	20.94	0.0	1986030.0	0.01	1253.0	65.86	7431793.0	966024	0	1463.0	0.0	3715	150.0	150.62	0.21	0.05	0.15	13.0	1.16
