Sample	Unassigned_FragmentLength	Total	Unassigned_Duplicate	Unassigned_MappingQuality	Unassigned_NoFeatures	Unassigned_Read_Type	Assigned	percent_assigned	Unassigned_MultiMapping	Unassigned_Ambiguity	Unassigned_NonSplit	Unassigned_Unmapped	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_Secondary	Unassigned_Singleton
MI_24Hr_SRR12108291.gencode	0	10585896	0	0	331390	0	6030294	56.96536221402515	4156004	68208	0	0	0	0	0	0
MI_24Hr_SRR12108294.gencode	0	14258948	0	0	501513	0	8459075	59.32467808985628	5200766	97594	0	0	0	0	0	0
MI_24Hr_SRR12108297.gencode	0	12799739	0	0	390781	0	7616711	59.506768067692626	4702588	89659	0	0	0	0	0	0
MI_24Hr_SRR12108298.gencode	0	15081056	0	0	515536	0	8777530	58.20235665194799	5686919	101071	0	0	0	0	0	0
MI_24Hr_SRR12108299.gencode	0	19864910	0	0	761805	0	11760508	59.202422764563245	7204364	138233	0	0	0	0	0	0
MI_6Hr_SRR12108289.gencode	0	13214872	0	0	390109	0	7715088	58.381859468635035	5027373	82302	0	0	0	0	0	0
MI_6Hr_SRR12108302.gencode	0	12367700	0	0	538169	0	6799311	54.976357770644505	4961694	68526	0	0	0	0	0	0
MI_6Hr_SRR12108303.gencode	0	18586315	0	0	568742	0	10702656	57.58352852623019	7202255	112662	0	0	0	0	0	0
MI_6Hr_SRR12108305.gencode	0	18946527	0	0	594908	0	10255969	54.13112915100482	7989124	106526	0	0	0	0	0	0
MI_6Hr_SRR12108306.gencode	0	4824138	0	0	122933	0	2890850	59.92469535490071	1778498	31857	0	0	0	0	0	0
SHAM_24Hr_SRR12108290.gencode	0	10111597	0	0	407285	0	5605284	55.43421083731877	4040705	58323	0	0	0	0	0	0
SHAM_24Hr_SRR12108292.gencode	0	9277847	0	0	314743	0	5187084	55.90827268438464	3724257	51763	0	0	0	0	0	0
SHAM_24Hr_SRR12108293.gencode	0	6393215	0	0	199976	0	3552591	55.56814529153172	2602566	38082	0	0	0	0	0	0
SHAM_24Hr_SRR12108295.gencode	0	8897984	0	0	800163	0	4718781	53.03202388316275	3335230	43810	0	0	0	0	0	0
SHAM_24Hr_SRR12108296.gencode	0	11081060	0	0	345976	0	6369326	57.47939276567404	4298986	66772	0	0	0	0	0	0
SHAM_6Hr_SRR12108300.gencode	0	4541448	0	0	95896	0	2716637	59.818740630741566	1699778	29137	0	0	0	0	0	0
SHAM_6Hr_SRR12108301.gencode	0	9082507	0	0	274092	0	5233145	57.61784714286485	3522397	52873	0	0	0	0	0	0
SHAM_6Hr_SRR12108304.gencode	0	18874631	0	0	565711	0	10974094	58.14203202171211	7224585	110241	0	0	0	0	0	0
SHAM_6Hr_SRR12108307.gencode	0	5680032	0	0	141562	0	3422279	60.25105140252731	2077704	38487	0	0	0	0	0	0
SHAM_6Hr_SRR12108308.gencode	0	8137375	0	0	237259	0	4610704	56.66082735525892	3242573	46839	0	0	0	0	0	0
