Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-median_sequence_length	STAR_mqc-generalstats-star-uniquely_mapped_percent	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	featureCounts_mqc-generalstats-featurecounts-Assigned	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_gc	featureCounts_mqc-generalstats-featurecounts-percent_assigned	STAR_mqc-generalstats-star-uniquely_mapped
MI_24Hr_SRR12108291.gencode			71.14			6030294			56.96536221402515	6429892.0
MI_24Hr_SRR12108291_1	70.29840022936065	76		9038623.0	30.0		75.48279843069017	44.0		
MI_24Hr_SRR12108291_2	63.97682345628163	76		9038623.0	30.0		75.4645479737345	46.0		
MI_24Hr_SRR12108294.gencode			75.95			8459075			59.32467808985628	9058182.0
MI_24Hr_SRR12108294_1	67.65499429692197	76		11926305.0	30.0		75.45676309636555	45.0		
MI_24Hr_SRR12108294_2	63.9628531024573	76		11926305.0	30.0		75.48119581043751	46.0		
MI_24Hr_SRR12108297.gencode			73.1			7616711			59.506768067692626	8097151.0
MI_24Hr_SRR12108297_1	68.30415115390187	76		11077004.0	30.0		75.44922255151303	45.0		
MI_24Hr_SRR12108297_2	61.897009357399725	76		11077004.0	30.0		75.43721109065231	47.0		
MI_24Hr_SRR12108298.gencode			73.83			8777530			58.20235665194799	9394137.0
MI_24Hr_SRR12108298_1	69.98715208135211	76		12724776.0	30.0		75.35558449123191	45.0		
MI_24Hr_SRR12108298_2	63.60704666943338	76		12724776.0	30.0		75.35733053375556	46.0		
MI_24Hr_SRR12108299.gencode			76.95			11760508			59.202422764563245	12660546.0
MI_24Hr_SRR12108299_1	70.50433468396338	76		16451998.0	30.0		75.33210829468858	45.0		
MI_24Hr_SRR12108299_2	66.12539972561504	76		16451998.0	30.0		75.32031896672976	46.0		
MI_6Hr_SRR12108289.gencode			73.81			7715088			58.381859468635035	8187499.0
MI_6Hr_SRR12108289_1	70.54260540392511	76		11092285.0	30.0		75.48568018221674	44.0		
MI_6Hr_SRR12108289_2	65.24078606170343	76		11092285.0	30.0		75.47336757034282	46.0		
MI_6Hr_SRR12108302.gencode			70.04			6799311			54.976357770644505	7406006.0
MI_6Hr_SRR12108302_1	72.660854429393	76		10573803.0	30.0		75.47345576610421	45.0		
MI_6Hr_SRR12108302_2	66.66313655237389	76		10573803.0	30.0		75.46392627137085	46.0		
MI_6Hr_SRR12108303.gencode			72.65			10702656			57.58352852623019	11384060.0
MI_6Hr_SRR12108303_1	73.08206660252443	76		15668800.0	30.0		75.4865731900337	44.0		
MI_6Hr_SRR12108303_2	67.68619499154718	76		15668800.0	30.0		75.46960245838865	45.0		
