Sample	tes_down_5kb_tag_pct	tes_down_10kb_tags_kb	tss_up_5kb-10kb_tag_count	5_utr_exons_total_bases	tss_up_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb_tags_kb	other_intergenic_tag_count	introns_total_bases	3_utr_exons_tag_count	tes_down_1kb-5kb_total_bases	tes_down_1kb_tag_count	cds_exons_total_bases	tss_up_5kb_tag_pct	5_utr_exons_tag_count	cds_exons_tags_kb	tss_up_1kb_tags_kb	5_utr_exons_tags_kb	total_tags	tss_up_5kb-10kb_total_bases	tes_down_1kb_tags_kb	tss_up_10kb_tags_kb	tss_up_1kb-5kb_total_bases	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_tag_count	3_utr_exons_tags_kb	introns_tag_pct	introns_tag_count	5_utr_exons_tag_pct	tss_up_1kb_tag_pct	cds_exons_tag_pct	total_assigned_tags	tes_down_5kb_tags_kb	tes_down_1kb_total_bases	cds_exons_tag_count	3_utr_exons_tag_pct	tes_down_1kb_tag_pct	introns_tags_kb	tss_up_1kb_tag_count	tes_down_5kb-10kb_total_bases	tss_up_1kb_total_bases	total_reads	3_utr_exons_total_bases	tes_down_10kb_tag_pct	tes_down_1kb-5kb_tag_count
MI_24Hr_SRR12108291_read_distribution	0.32175422031275797	0.25	9886	36900028	0.11196627169920319	3.679052485677967	0.08	729329	1097934901	5947771	124532769	36806	36902569	0.06209699065674856	494623	333.28	0.12	13.4	19823827	125265442	0.99	0.08	123207134	8253	7052	97.0	1.3131924526984622	260325	2.495093404517705	0.020465271413032407	62.04022563352677	19094498	0.39	37311462	12298747	30.003142178349318	0.1856654620724848	0.24	4057	123615777	34872227	16828032	61314908	0.35732757353058014	26978
MI_24Hr_SRR12108294_read_distribution	0.3531034762102027	0.38	19035	36900028	0.13736775267332557	3.8080816823196537	0.12	1037932	1097934901	7754195	124532769	50084	36902569	0.06753000335742182	795338	460.86	0.19	21.55	27256033	125265442	1.34	0.13	123207134	11721	11568	126.47	1.8949309314381884	516483	2.918025524844353	0.024526680019795983	62.39658573938475	26218101	0.59	37311462	17006834	28.44946291340343	0.18375381333006163	0.47	6685	123615777	34872227	23047412	61314908	0.3955454559363059	46158
MI_24Hr_SRR12108297_read_distribution	0.3230212234818551	0.31	16847	36900028	0.1355033706305522	3.7079931502106764	0.1	909845	1097934901	6740129	124532769	43859	36902569	0.06684490616506715	720139	424.44	0.17	19.52	24537397	125265442	1.18	0.12	123207134	10607	10177	109.93	1.554887831011578	381529	2.9348630582127355	0.0236170120245436	63.83345389081001	23627552	0.49	37311462	15663068	27.468802008623815	0.17874349100680892	0.35	5795	123615777	34872227	20646150	61314908	0.3644966905006265	35402
MI_24Hr_SRR12108298_read_distribution	0.3126452671943701	0.35	18879	36900028	0.13961745293736522	3.7143266806279454	0.13	1061590	1097934901	7877691	124532769	49940	36902569	0.07356297483981815	809609	492.89	0.21	21.94	28580954	125265442	1.34	0.14	123207134	13641	11976	128.48	1.755900100465506	501853	2.832687110444249	0.025835386740414613	63.64019199639033	27519364	0.55	37311462	18188974	27.562729361658118	0.17473174618314002	0.46	7384	123615777	34872227	24173056	61314908	0.3545472974764943	39417
MI_24Hr_SRR12108299_read_distribution	0.3466297706767819	0.52	27123	36900028	0.1401839706596687	3.670091356361355	0.17	1400423	1097934901	10476784	124532769	70502	36902569	0.06910267032499194	1102700	658.3	0.27	29.88	38157715	125265442	1.89	0.19	123207134	16956	17097	170.87	1.7870933833433162	681914	2.889848094939647	0.024666047220070698	63.66481850393819	36757292	0.82	37311462	24293040	27.456528777994176	0.18476473237456698	0.62	9412	123615777	34872227	32121520	61314908	0.3914359127636442	61764
MI_6Hr_SRR12108289_read_distribution	0.31629734836003254	0.31	16573	36900028	0.1541724036942868	3.743484863730659	0.14	931571	1097934901	6639114	124532769	39929	36902569	0.08757439383072492	688109	436.08	0.2	18.65	24885128	125265442	1.07	0.14	123207134	14785	9876	108.28	1.6344219728345382	406728	2.7651414933449407	0.02816139824557061	64.6677525628962	23953557	0.49	37311462	16092653	26.67904300110492	0.16045326349135114	0.37	7008	123615777	34872227	21147244	61314908	0.35598370239445826	38782
MI_6Hr_SRR12108302_read_distribution	0.5733588208720374	0.53	56880	36900028	0.318744921760374	4.54458929841592	0.1	1025404	1097934901	6067264	124532769	33633	36902569	0.06665282996641032	1076241	368.76	0.15	29.17	22563183	125265442	0.9	0.25	123207134	9922	22620	98.95	2.4913993739269853	562139	4.769898821456175	0.022678537864094794	60.31165017807992	21537779	0.8	37311462	13608228	26.89010677261271	0.14906141566994338	0.51	5117	123615777	34872227	19517430	61314908	0.673610633747907	95735
MI_6Hr_SRR12108303_read_distribution	0.3162694988601489	0.43	24553	36900028	0.14973111983351287	3.806897458534586	0.17	1322552	1097934901	9591309	124532769	56718	36902569	0.07905658053418876	982824	598.9	0.26	26.63	34740941	125265442	1.52	0.18	123207134	18448	13276	156.43	1.635456564057951	568173	2.8290079995242503	0.025954967656172584	63.61633670199088	33418389	0.68	37311462	22100914	27.608086378546858	0.16325982649692763	0.52	9017	123615777	34872227	29629578	61314908	0.35448377751195626	53157
MI_6Hr_SRR12108305_read_distribution	0.31153635405099706	0.42	24664	36900028	0.14906404544169544	3.7559218612887446	0.17	1286871	1097934901	9972858	124532769	51935	36902569	0.07707854200986304	951899	577.29	0.24	25.8	34262454	125265442	1.39	0.18	123207134	18196	12841	162.65	1.6834433400479722	576789	2.778256922285835	0.023970845754364235	62.17704954817306	32975583	0.66	37311462	21303383	29.10724958580025	0.1515799189398401	0.53	8213	123615777	34872227	29558130	61314908	0.3490146969624534	54805
MI_6Hr_SRR12108306_read_distribution	0.34459194347880334	0.13	7631	36900028	0.1457893121626535	3.287373423586621	0.04	306145	1097934901	2441985	124532769	15021	36902569	0.06384792296671854	283653	164.67	0.06	7.69	9312754	125265442	0.4	0.05	123207134	3719	4385	39.83	1.6570715816180692	154319	3.0458551788225052	0.0239134417165964	65.25029008604758	9006609	0.2	37311462	6076599	26.22194251023918	0.16129492951279503	0.14	2227	123615777	34872227	7780118	61314908	0.39167790752338133	17070
SHAM_24Hr_SRR12108290_read_distribution	0.37303006279430634	0.27	11270	36900028	0.117827217163956	3.764722363715314	0.07	701393	1097934901	5629559	124532769	35826	36902569	0.05733556549496072	523842	308.17	0.11	14.2	18630670	125265442	0.96	0.08	123207134	6971	7511	91.81	1.6351263803180454	304635	2.811718526494216	0.019918768353473063	61.04063890348549	17929277	0.43	37311462	11372280	30.216621302400824	0.1922958218893899	0.28	3711	123615777	34872227	16012320	61314908	0.4133453064221523	33672
