Sample	deletion_length	num_splices	deletion_rate	num_ATAC_splices	num_GTAG_splices	unmapped_other_percent	multimapped	insertion_rate	unmapped_mismatches_percent	multimapped_toomany_percent	unmapped_tooshort	mismatch_rate	uniquely_mapped_percent	num_noncanonical_splices	avg_mapped_read_length	uniquely_mapped	num_GCAG_splices	avg_input_read_length	unmapped_other	multimapped_percent	multimapped_toomany	insertion_length	unmapped_tooshort_percent	total_reads	unmapped_mismatches	num_annotated_splices
MI_24Hr_SRR12108291.gencode	1.41	2849876.0	0.0	1961.0	2826581.0	0.05	1984124.0	0.0	0.0	0.17	604848	0.21	71.14	1617.0	150.65	6429892.0	19717.0	150.0	4514	21.95	15245.0	1.15	6.7	9038623.0	0	2834235.0
MI_24Hr_SRR12108294.gencode	1.54	4002488.0	0.0	2787.0	3967573.0	0.05	2465524.0	0.01	0.0	0.18	375065	0.21	75.95	2523.0	150.65	9058182.0	29605.0	150.0	5972	20.67	21562.0	1.2	3.14	11926305.0	0	3977998.0
MI_24Hr_SRR12108297.gencode	1.53	3712800.0	0.0	2665.0	3679848.0	0.05	2225924.0	0.0	0.0	0.19	726993	0.21	73.1	2636.0	150.57	8097151.0	27651.0	150.0	5533	20.1	21403.0	1.18	6.57	11077004.0	0	3690423.0
MI_24Hr_SRR12108298.gencode	1.46	4208002.0	0.0	2922.0	4170877.0	0.05	2692391.0	0.0	0.0	0.22	604295	0.25	73.83	2995.0	150.39	9394137.0	31208.0	150.0	6361	21.16	27592.0	1.16	4.75	12724776.0	0	4181050.0
MI_24Hr_SRR12108299.gencode	1.48	5762381.0	0.0	4333.0	5711051.0	0.05	3400214.0	0.0	0.0	0.21	348602	0.22	76.95	4098.0	150.35	12660546.0	42899.0	150.0	8222	20.67	34414.0	1.19	2.12	16451998.0	0	5727009.0
MI_6Hr_SRR12108289.gencode	1.46	3560061.0	0.0	2427.0	3527261.0	0.07	2386123.0	0.01	0.0	0.23	485304	0.21	73.81	2388.0	150.65	8187499.0	27985.0	150.0	7756	21.51	25603.0	1.2	4.38	11092285.0	0	3538882.0
MI_6Hr_SRR12108302.gencode	2.82	2852887.0	0.01	1873.0	2827409.0	0.05	2352709.0	0.01	0.0	0.18	790801	0.25	70.04	2200.0	150.47	7406006.0	21405.0	150.0	5286	22.25	19001.0	1.53	7.48	10573803.0	0	2834706.0
MI_6Hr_SRR12108303.gencode	1.55	4867291.0	0.0	3277.0	4822876.0	0.05	3430729.0	0.01	0.0	0.2	815406	0.2	72.65	3541.0	150.64	11384060.0	37597.0	150.0	7840	21.9	30765.0	1.19	5.2	15668800.0	0	4837464.0
MI_6Hr_SRR12108305.gencode	1.55	4460112.0	0.0	2918.0	4420365.0	0.05	3821662.0	0.01	0.0	0.21	663142	0.2	70.77	3129.0	150.64	10957403.0	33700.0	150.0	7729	24.68	32249.0	1.22	4.29	15482185.0	0	4432130.0
MI_6Hr_SRR12108306.gencode	1.6	1482756.0	0.0	970.0	1469937.0	0.06	844419.0	0.0	0.0	0.25	78103	0.18	76.51	1139.0	150.56	3045640.0	10710.0	150.0	2379	21.21	10081.0	1.32	1.97	3980622.0	0	1474446.0
SHAM_24Hr_SRR12108290.gencode	1.62	2482423.0	0.0	1596.0	2461368.0	0.05	1935268.0	0.01	0.0	0.15	520285	0.2	71.06	1700.0	150.41	6070892.0	17759.0	150.0	4272	22.65	13028.0	1.21	6.09	8543745.0	0	2468437.0
SHAM_24Hr_SRR12108292.gencode	1.56	2287525.0	0.0	1432.0	2267309.0	0.05	1786919.0	0.0	0.0	0.16	560238	0.22	70.15	1765.0	150.54	5553590.0	17019.0	150.0	3956	22.57	12430.0	1.18	7.08	7917133.0	0	2273873.0
SHAM_24Hr_SRR12108293.gencode	1.47	1539025.0	0.0	968.0	1526898.0	0.04	1252558.0	0.01	0.0	0.13	315558	0.21	70.62	948.0	150.58	3790649.0	10211.0	150.0	2147	23.34	6730.0	1.18	5.88	5367642.0	0	1531193.0
SHAM_24Hr_SRR12108295.gencode	4.21	1722848.0	0.04	1118.0	1708240.0	0.03	1528002.0	0.02	0.0	0.09	884036	0.41	69.67	1915.0	149.99	5562754.0	11575.0	151.0	2396	19.14	7366.0	1.99	11.07	7984554.0	0	1713281.0
SHAM_24Hr_SRR12108296.gencode	1.44	2946894.0	0.0	2023.0	2920552.0	0.05	2066417.0	0.0	0.0	0.15	665061	0.2	71.14	1985.0	150.65	6782074.0	22334.0	150.0	4764	21.68	14749.0	1.16	6.98	9533065.0	0	2929967.0
SHAM_6Hr_SRR12108300.gencode	1.47	1372112.0	0.0	809.0	1360509.0	0.05	811143.0	0.0	0.0	0.23	81487	0.18	75.88	1004.0	150.66	2841670.0	9790.0	150.0	1878	21.66	8670.0	1.25	2.17	3744848.0	0	1364686.0
SHAM_6Hr_SRR12108301.gencode	1.37	2363594.0	0.0	1499.0	2342505.0	0.05	1692747.0	0.0	0.0	0.15	597211	0.21	70.69	1649.0	150.66	5560110.0	17941.0	150.0	3934	21.52	11461.0	1.13	7.59	7865463.0	0	2349756.0
SHAM_6Hr_SRR12108304.gencode	1.46	5060149.0	0.0	3227.0	5015647.0	0.06	3460750.0	0.0	0.0	0.16	408402	0.21	74.9	3188.0	150.68	11650046.0	38087.0	150.0	9317	22.25	25466.0	1.17	2.63	15553981.0	0	5031154.0
SHAM_6Hr_SRR12108307.gencode	1.63	1804078.0	0.0	1169.0	1788789.0	0.05	990325.0	0.0	0.0	0.24	167182	0.18	75.46	1312.0	150.59	3602328.0	12808.0	150.0	2388	20.74	11692.0	1.34	3.5	4773915.0	0	1793819.0
SHAM_6Hr_SRR12108308.gencode	1.39	1998126.0	0.0	1253.0	1980398.0	0.05	1555835.0	0.01	0.0	0.15	966261	0.21	65.86	1463.0	150.62	4894802.0	15012.0	150.0	3716	20.93	11179.0	1.16	13.0	7431793.0	0	1985988.0
